1,8e-06
2,3e-06
3,3e-06
4,2e-06
5,3e-06
6,3e-06
7,3e-06
8,3e-06
9,4e-06
10,2e-05
11,3e-06
12,4e-06
13,4e-06
14,4e-06
15,5e-06
16,5e-06
17,5e-06
18,6e-06
19,4e-06
20,5e-06
21,6e-06
22,6e-06
23,6e-06
24,7e-06
25,7e-06
26,8e-06
27,7e-06
28,8e-06
29,8e-06
30,9e-06
31,1e-05
32,9e-06
33,1e-05
34,1e-05
35,1.1e-05
36,1.2e-05
37,1.2e-05
38,1.8e-05
39,1.2e-05
40,1.4e-05
41,1.4e-05
42,1.5e-05
43,1.6e-05
44,1.6e-05
45,1.6e-05
46,1.7e-05
47,1.8e-05
48,1.9e-05
49,2e-05
50,2e-05
51,2e-05
52,2.1e-05
53,2.1e-05
54,2.1e-05
55,2.6e-05
56,2.3e-05
57,2.4e-05
58,3e-05
59,2.5e-05
60,2.5e-05
61,2.6e-05
62,2.7e-05
63,2.8e-05
64,2.9e-05
65,3e-05
66,3.1e-05
67,3.1e-05
68,3.2e-05
69,3.3e-05
70,3.2e-05
71,4.2e-05
72,4.2e-05
73,3.7e-05
74,4.5e-05
75,3.8e-05
76,3.9e-05
77,3.9e-05
78,4.1e-05
79,4.1e-05
80,4.2e-05
81,4.2e-05
82,4.3e-05
83,4.5e-05
84,4.6e-05
85,4.7e-05
86,7.3e-05
87,4.9e-05
88,5e-05
89,5.7e-05
90,7.4e-05
91,5.5e-05
92,5.3e-05
93,5.4e-05
94,5.6e-05
95,5.6e-05
96,5.8e-05
97,6.6e-05
98,6e-05
99,6.1e-05
100,6.2e-05
101,6.3e-05
102,6.4e-05
103,6.5e-05
104,6.7e-05
105,6.6e-05
106,6.8e-05
107,7.5e-05
108,7.1e-05
109,7.2e-05
110,7.3e-05
111,7.4e-05
112,7.5e-05
113,7.7e-05
114,7.7e-05
115,7.9e-05
116,8.7e-05
117,8.2e-05
118,8.3e-05
119,8.4e-05
120,8.5e-05
121,8.5e-05
122,8.7e-05
123,8.8e-05
124,8.8e-05
125,9.7e-05
126,9.2e-05
127,9.4e-05
128,9.5e-05
129,9.7e-05
130,0.000103
131,8.1e-05
132,8.7e-05
133,8.4e-05
134,8.4e-05
135,8.4e-05
136,8.7e-05
137,8.7e-05
